Venue,Neighborhood,Address,Website,Source(s) configured,Source status,Shows in shows.json,Sources returning data,Do312 URL,JSON-LD URL,Registry ID,Notes
Garcia's,,1001 W Washington Blvd,https://garciaschicago.live/,One-off,Established,60,venue-site,,,garcia-s,
Rosa's Lounge,Logan Square,3420 W Armitage Ave.,https://rosaslounge.com/calendar,One-off,Established,57,venue-site,,,rosa-s-lounge,
Jazz Showcase,,806 S Plymouth Ct,https://www.jazzshowcase.com,Do312; One-off,Established,49,venue-site,https://do312.com/venues/jazz-showcase,,jazz-showcase,
Cole's Bar,Logan Square,2338 N Milwaukee Ave.,https://colesbarchicago.com,Do312; JSON-LD,Established,46,do312; venue-site,https://do312.com/venues/cole-s-bar,https://colesbarchicago.com,cole-s-bar,
Reggies Rock Club,South Loop,2105 S State St.,https://www.reggieslive.com/,Do312; One-off,Established,39,venue-site,https://do312.com/venues/reggies-rock-club,,reggies-rock-club,
Sound-Bar,,226 W Ontario,https://sound-bar.com,Do312; One-off,Established,36,do312; venue-site,https://do312.com/venues/sound-bar,,sound-bar,
Andy's Jazz Club,,11 E. Hubbard St.,https://andysjazzclub.com/music-calendar/,JSON-LD,Established,35,venue-site,,https://andysjazzclub.com/music-calendar/,andy-s-jazz-club,
Buddy Guy's Legends,,,,One-off,Established,28,venue-site,,,buddy-guy-s-legends,
Cobra Lounge,West Town,235 N Ashland Ave.,https://cobralounge.com/events/,Do312; DICE,Established,28,dice; do312,https://do312.com/venues/cobra-lounge,,cobra-lounge,
Empty Bottle,Ukrainian Village,1035 N Western Ave,https://www.emptybottle.com,Do312; AskAPunk,Established,27,askapunk; do312,https://do312.com/venues/empty-bottle,,empty-bottle,
Chop Shop,Wicker Park,2033 W North Ave,https://chopshopchi.com/calendar/,Do312; DICE,Established,26,dice; do312,https://do312.com/venues/chop-shop,,chop-shop,
Constellation,Roscoe Village,3111 N Western Ave,https://constellation-chicago.com,Do312,Established,25,do312,https://do312.com/venues/constellation,,constellation,
Green Mill,Uptown,4802 N. Broadway Ave.,https://greenmilljazz.com/calendar/,Do312,Established,25,do312,https://do312.com/venues/the-green-mill,,green-mill,
Lincoln Hall,Lincoln Park,2424 N Lincoln Ave,https://lh-st.com,Do312,Established,25,do312,https://do312.com/venues/lincoln-hall,,lincoln-hall,
Martyrs',North Center,3855 N Lincoln,http://martyrslive.com,Do312,Established,25,do312,https://do312.com/venues/martyrs,,martyrs,
Riviera Theatre,Uptown,4746 N. Racine Ave,https://www.jamusa.com/riviera-theatre/,Do312,Established,25,do312,https://do312.com/venues/riviera-theatre,,riviera-theatre,
Salt Shed,Goose Island,1357 NORTH ELSTON AVE.,https://www.saltshedchicago.com/home#shows,Do312; DICE,Established,25,dice; do312,https://do312.com/venues/the-salt-shed,,salt-shed,
Schubas,Lakeview,3159 N Southport Ave,https://lh-st.com,Do312,Established,25,do312,https://do312.com/venues/schubas,,schubas,
Subterranean,Wicker Park,2011 W. NORTH AVE.,https://www.subt.net,Do312,Established,25,do312,https://do312.com/venues/subterranean,,subterranean,
Subterranean Downstairs,Wicker Park,2011 W. NORTH AVE.,https://www.subt.net,Do312,Established,25,do312,https://do312.com/venues/subterranean-downstairs,,subterranean-downstairs,
Uncommon Ground,,3800 N Clark St.,https://uncommonground.simpletix.com,Do312,Established,25,do312,https://do312.com/venues/uncommon-ground,,uncommon-ground,
Epiphany Center for the Arts,,201 S Ashland Ave,https://epiphanychi.com/tickets/,Do312; DICE,Established,24,dice; do312,https://do312.com/venues/epiphany-center-for-the-arts,,epiphany-center-for-the-arts,
Thalia Hall,Pilsen,18 S Allport,https://thaliahallchicago.com,Do312,Established,24,do312,https://do312.com/venues/thalia-hall,,thalia-hall,
The Hideout,West Town,1354 W Wabansia,https://hideoutchicago.com,Do312,Established,24,do312,https://do312.com/venues/the-hideout,,the-hideout,
Aragon Ballroom,Uptown,1106 W Lawrence,https://www.livenation.com/venue/KovZpZAFdJnA/byline-bank-aragon-ballroom-events,Do312,Established,23,do312,https://do312.com/venues/byline-bank-aragon-ballroom,,aragon-ballroom,
Bottom Lounge,West Loop,1375 W. Lake ST.,https://bottomlounge.com,Do312,Established,23,do312,https://do312.com/venues/bottom-lounge,,bottom-lounge,
Chicago Theatre,The Loop,175 N State St.,https://www.msg.com/calendar?venues=KovZpZA6AJ6A,Do312,Established,23,do312,https://do312.com/venues/the-chicago-theatre,,chicago-theatre,
Clara,,2027 W North Ave,https://www.clarachicago.com,Do312,Established,23,do312,https://do312.com/venues/clara,,clara,
Kingston Mines,Lincoln Park,2548 North Halsted,https://www.ticketweb.com/venue/kingston-mines-chicago-blues-center-chicago-il/18842,Do312,Established,23,do312,https://do312.com/venues/kingston-mines,,kingston-mines,
Metro,Lakeview,3730 N Clark St,https://metrochicago.com,Do312,Established,23,do312,https://do312.com/venues/metro,,metro,
Outset,Bucktown,1675 N Elston Ave,https://outsetlive.com,Do312,Established,23,do312,https://do312.com/venues/outset,,outset,
The Vic,Lakeview,3145 N Sheffield Ave.,https://www.jamusa.com/venues/the-vic,Do312,Established,23,do312,https://do312.com/venues/the-vic-theatre,,the-vic,
House of Blues,River North,329 N Dearborn St.,https://www.houseofblues.com/chicago/concert-events,Do312,Established,22,do312,https://do312.com/venues/house-of-blues,,house-of-blues,
Park West,Lincoln Park,322 W Armitage Ave.,https://www.jamusa.com/park-west,Do312,Established,22,do312,https://do312.com/venues/park-west,,park-west,
Radius,South Loop,640 West Cermak Rd.,https://www.radius-chicago.com,Do312,Established,22,do312,https://do312.com/venues/radius,,radius,
Ramova Loft,Bridgeport,,,Do312,Established,22,do312,https://do312.com/venues/ramova-loft,,ramova-loft,
Ramova Theatre,Bridgeport,3520 S Halsted St,https://ramovachicago.com,Do312,Established,22,do312,https://do312.com/venues/ramova-theatre,,ramova-theatre,
Beat Kitchen,Roscoe Village,2100 W Belmont,https://www.beatkitchen.com,Do312; AskAPunk,Established,21,askapunk; do312,https://do312.com/venues/beat-kitchen,,beat-kitchen,
Bookclub,Lakeview,2871 N Lincoln Ave,https://bookclubchi.com,Do312,Established,21,do312,https://do312.com/venues/bookclub,,bookclub,
Color Club,,4146 N Elston Ave,https://colorclub.events/events/,Do312; DICE,Established,21,dice; do312,https://do312.com/venues/color-club,,color-club,
